Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
3567816,WHS4_544,COUNTRY,JPN,WPR,YEAR,Western Pacific,,,2022,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
3646036,WHS4_544,COUNTRY,IND,SEAR,YEAR,South-East Asia,,,2010,,,,,,,76,76.0,,,,2025-07-14T16:23:12.92+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
3651080,WHS4_544,COUNTRY,UGA,AFR,YEAR,Africa,,,2015,,,,,,,85,85.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
3670274,WHS4_544,COUNTRY,SGP,WPR,YEAR,Western Pacific,,,2010,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
3716859,WHS4_544,COUNTRY,JPN,WPR,YEAR,Western Pacific,,,2021,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
3733201,WHS4_544,COUNTRY,MEX,AMR,YEAR,Americas,,,2024,,,,,,,78,78.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
3785048,WHS4_544,COUNTRY,BRA,AMR,YEAR,Americas,,,2015,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
3798284,WHS4_544,COUNTRY,BRA,AMR,YEAR,Americas,,,2022,,,,,,,75,75.0,,,,2025-07-14T16:23:12.92+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
3837310,WHS4_544,COUNTRY,CHL,AMR,YEAR,Americas,,,2019,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
3839939,WHS4_544,COUNTRY,JPN,WPR,YEAR,Western Pacific,,,2013,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
3934046,WHS4_544,COUNTRY,BRA,AMR,YEAR,Americas,,,2010,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
3938683,WHS4_544,COUNTRY,MDG,AFR,YEAR,Africa,,,2024,,,,,,,62,62.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
3951719,WHS4_544,COUNTRY,GHA,AFR,YEAR,Africa,,,2024,,,,,,,91,91.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
3985738,WHS4_544,COUNTRY,IDN,WPR,YEAR,Western Pacific,,,2017,,,,,,,88,88.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
4022820,WHS4_544,COUNTRY,BGD,SEAR,YEAR,South-East Asia,,,2022,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
